This is our final result, combined different p+p methods as well as the flow effect.
pt	y	ey
11.5904	0.476021	0.0516729
11.7666	0.475223	0.0527493
11.9455	0.474413	0.0538296
12.1272	0.47359	0.0549156
12.3116	0.472754	0.0560066
12.4988	0.471905	0.0571029
12.6888	0.471043	0.0582048
12.8818	0.470168	0.0593133
13.0777	0.46928	0.0604283
13.2765	0.468378	0.0615505
13.4784	0.467462	0.0626802
13.6833	0.466457	0.0639564
13.8914	0.46545	0.0652341
14.1026	0.464445	0.0665182
14.3171	0.463438	0.0678072
14.5348	0.462433	0.0691086
14.7558	0.461425	0.070418
14.9801	0.460421	0.0717452
15.2079	0.459412	0.0730831
15.4392	0.458408	0.0744434
15.6739	0.457398	0.0758166
15.9123	0.456395	0.0772159
16.1542	0.455385	0.0786294
16.3999	0.454382	0.0800713
16.6492	0.453372	0.0815283
16.9024	0.452369	0.0830142
17.1594	0.45136	0.0845154
17.4203	0.450358	0.0860445
17.6852	0.44935	0.087588
17.9541	0.448348	0.089157
18.2271	0.447341	0.0907387
18.5043	0.446339	0.0923419
18.7856	0.445333	0.0939554
19.0713	0.444332	0.0955852
19.3613	0.443327	0.0972223
19.6557	0.442325	0.0988695
19.9546	0.441321	0.100521
20.258	0.440318	0.102175
20.566	0.439221	0.104039
20.8787	0.438105	0.105917
21.1962	0.436967	0.107809
21.5185	0.435812	0.109713
21.8457	0.434636	0.111627
22.1779	0.43344	0.113553
22.5151	0.432225	0.115487
22.8575	0.43099	0.117428
23.205	0.429735	0.119378
23.5579	0.428462	0.121333
23.9161	0.427169	0.123293
24.2797	0.425857	0.125258
24.6489	0.424526	0.127226
25.0237	0.423177	0.129195
25.4042	0.421809	0.131165
25.7905	0.420423	0.133135
26.1827	0.419017	0.135105
26.5808	0.417595	0.137073
26.985	0.413952	0.141237
27.3953	0.41	0.145692
27.8119	0.405991	0.150179
28.2348	0.401932	0.154694
28.6641	0.397828	0.159227
29.0999	0.393687	0.163774
29.5424	0.389515	0.168327
